Provider trainee ID,Apply ID,First name,Last name,Date of birth,Gender,Nationality,Email,Ethnicity,Disabilities,Previous last name,National Insurance number,Course qualification,Training route,Course level,Course education phase,Course age range,Course ITT subject,Course study mode,Course ITT start date,Expected end date,Trainee start date,Postgraduate apprencticeship start date,Employing school URN,Lead partner URN,Year of programme,Training initiative,Funding option,Funding eligibility,Country of degree,Degree subjects,UK degree type,UK awarding institution,UK degree grade,UK degree grade other,Non UK degree types,Graduation year,Errors
YK9994,,Harold,Pfeffer,19/01/1970,Male,British,usertesting@teztr.com,Not provided,,,,EYTS,Provider-led (postgrad),,Secondary,16 to 19,Biology with chemistry,,11/03/2024,11/03/2025,11/03/2024,,,,,Transition to Teach,bursary,5000,,,,,,,,,
GC7042,,Erik,Pollich,19/01/1970,Male,British,usertraining@teztr.com,Not provided,,,,EYTS,Provider-led (postgrad),,Primary,3 to 7,Primary with physical education,,11/03/2024,11/03/2025,11/03/2024,,,,,Transition to Teach,bursary,5000,,,,,,,,,
XE4315,,Martha,Pouros,19/01/1970,Male,British,usertesting@teztr.com,Not provided,,,,EYTS,Provider-led (postgrad),,Secondary,16 to 19,Latin,,11/03/2024,11/03/2025,11/03/2024,,,,,Transition to Teach,bursary,5000,,,,,,,,,
BA0386,,Germaine,Prevost,,,,,,,,,,Provider-led (postgrad),,Secondary,16 to 19,Latin,,,,,,,,,,,,,,,,,,,,
CS3377,,Annabelle,Prevost,,,,,,,,,,Provider-led (postgrad),,Secondary,16 to 19,Latin,,,,,,,,,,,,,,,,,,,,
DS9993,,Pat,Rempel,,,,,,,,,,Provider-led (postgrad),,Secondary,16 to 19,Latin,,,,,,,,,,,,,,,,,,,,
WF0871,,Avigaëlle,Remy,,,,,,,,,,Provider-led (postgrad),,Secondary,16 to 19,Latin,,,,,,,,,,,,,,,,,,,,
NL3209,,Céleste,Renaud,,,,,,,,,,Provider-led (postgrad),,Primary,3 to 7,Primary with modern languages,,,,,,,,,,,,,,,,,,,,
QW3812,,Russell,Renner,,,,,,,,,,Provider-led (postgrad),,Secondary,16 to 19,Design and technology,,,,,,,,,,,,,,,,,,,,
AD8428,,Gautier,Rey,,,,,,,,,,Provider-led (postgrad),,Secondary,16 to 19,Modern languages,,,,,,,,,,,,,,,,,,,,
SH6489,,Gatien,Robert,,,,,,,,,,Provider-led (postgrad),,Secondary,16 to 19,Physical education with physics,,,,,,,,,,,,,,,,,,,,
WW9157,,Daphné,Robert,,,,,,,,,,Provider-led (postgrad),,Secondary,16 to 19,Latin,,,,,,,,,,,,,,,,,,,,
MN8220,,Amalthée,Roger,,,,,,,,,,Teaching apprenticeship (postgrad),,Secondary,16 to 19,Biology with chemistry,,,,,,,,,,,,,,,,,,,,
CS1630,,Kelly,Rolfson,,,,,,,,,,Provider-led (postgrad),,Secondary,16 to 19,Biology with chemistry,,,,,,,,,,,,,,,,,,,,
MD2264,,Yolanda,Runolfsdottir,,,,,,,,,,Provider-led (undergrad),,Secondary,16 to 19,Modern languages,,,,,,,,,,,,,,,,,,,,
AM9800,,Lee,Sawayn,,,,,,,,,,Provider-led (postgrad),,Primary,3 to 7,Primary,,,,,,,,,,,,,,,,,,,,
EX9838,,Andre,Schaefer,,,,,,,,,,Provider-led (postgrad),,Primary,3 to 7,Primary,,,,,,,,,,,,,,,,,,,,
NF7094,,Jody,Schneider,,,,,,,,,,Provider-led (postgrad),,Primary,3 to 7,Primary with physical education,,,,,,,,,,,,,,,,,,,,
DN2616,,Mabel,Schroeder,,,,,,,,,,Provider-led (postgrad),,Secondary,16 to 19,Modern languages,,,,,,,,,,,,,,,,,,,,
TX1993,,Gwen,Shields,,,,,,,,,,Provider-led (undergrad),,Primary,3 to 7,Primary with mathematics,,,,,,,,,,,,,,,,,,,,
DK3273,,Alfred,Sipes,,,,,,,,,,Provider-led (postgrad),,Secondary,16 to 19,Biology,,,,,,,,,,,,,,,,,,,,
FY0149,,Rogelio,Stanton,,,,,,,,,,Provider-led (postgrad),,Primary,3 to 7,Primary with physical education,,,,,,,,,,,,,,,,,,,,
EK8893,,Carol,Stark,,,,,,,,,,Provider-led (undergrad),,Primary,3 to 7,Primary with modern languages,,,,,,,,,,,,,,,,,,,,
BE6825,,Dwight,Steuber,,,,,,,,,,Provider-led (postgrad),,Primary,3 to 7,Primary,,,,,,,,,,,,,,,,,,,,
BE0921,,Victor,Stoltenberg,,,,,,,,,,Provider-led (postgrad),,Secondary,16 to 19,Design and technology,,,,,,,,,,,,,,,,,,,,
MC9068,,Randal,Stracke,,,,,,,,,,School direct (fee funded),,Primary,3 to 7,Primary with modern languages,,,,,,,,,,,,,,,,,,,,
QH2562,,Sheldon,Swaniawski,,,,,,,,,,Provider-led (postgrad),,Primary,3 to 7,Primary,,,,,,,,,,,,,,,,,,,,
TC8129,,Nathan,Swift,,,,,,,,,,Teaching apprenticeship (postgrad),,Secondary,16 to 19,Latin,,,,,,,,,,,,,,,,,,,,
AT3764,,Héloïse,Thomas,,,,,,,,,,Provider-led (postgrad),,Secondary,16 to 19,Design and technology,,,,,,,,,,,,,,,,,,,,
LA5215,,Drew,Tillman,,,,,,,,,,Provider-led (postgrad),,Secondary,16 to 19,Modern languages,,,,,,,,,,,,,,,,,,,,
MR6798,,Ethel,Volkman,,,,,,,,,,Opt-in (undergrad),,Primary,3 to 7,Primary with modern languages,,,,,,,,,,,,,,,,,,,,
DL2085,,Max,Von,,,,,,,,,,School direct (salaried),,Primary,3 to 7,Primary,,,,,,,,,,,,,,,,,,,,
FM7612,,Winston,Walsh,,,,,,,,,,Provider-led (postgrad),,Secondary,16 to 19,Music with art and design,,,,,,,,,,,,,,,,,,,,
GE6621,,Jimmie,Wuckert,,,,,,,,,,Provider-led (postgrad),,Secondary,16 to 19,Physical education with physics,,,,,,,,,,,,,,,,,,,,
LT5293,,Luke,Wyman,,,,,,,,,,School direct (fee funded),,Primary,3 to 7,Primary,,,,,,,,,,,,,,,,,,,,
